Year,season,MCPP,PredictedCrimeCount,Year_season
2024,Spring,ALASKA JUNCTION,321,2024_Spring
2024,Spring,ALKI,106,2024_Spring
2024,Spring,BALLARD NORTH,345,2024_Spring
2024,Spring,BALLARD SOUTH,696,2024_Spring
2024,Spring,BELLTOWN,377,2024_Spring
2024,Spring,BITTERLAKE,385,2024_Spring
2024,Spring,BRIGHTON/DUNLAP,231,2024_Spring
2024,Spring,CAPITOL HILL,1147,2024_Spring
2024,Spring,CENTRAL AREA/SQUIRE PARK,520,2024_Spring
2024,Spring,CHINATOWN/INTERNATIONAL DISTRICT,497,2024_Spring
2024,Spring,CLAREMONT/RAINIER VISTA,136,2024_Spring
2024,Spring,COLUMBIA CITY,106,2024_Spring
2024,Spring,COMMERCIAL DUWAMISH,21,2024_Spring
2024,Spring,COMMERCIAL HARBOR ISLAND,9,2024_Spring
2024,Spring,DOWNTOWN COMMERCIAL,1045,2024_Spring
2024,Spring,EASTLAKE - EAST,36,2024_Spring
2024,Spring,EASTLAKE - WEST,141,2024_Spring
2024,Spring,FAUNTLEROY SW,80,2024_Spring
2024,Spring,FIRST HILL,611,2024_Spring
2024,Spring,FREMONT,354,2024_Spring
2024,Spring,GENESEE,72,2024_Spring
2024,Spring,GEORGETOWN,309,2024_Spring
2024,Spring,GREENWOOD,322,2024_Spring
2024,Spring,HIGH POINT,166,2024_Spring
2024,Spring,HIGHLAND PARK,190,2024_Spring
2024,Spring,HILLMAN CITY,62,2024_Spring
2024,Spring,JUDKINS PARK/NORTH BEACON HILL,219,2024_Spring
2024,Spring,LAKECITY,547,2024_Spring
2024,Spring,LAKEWOOD/SEWARD PARK,93,2024_Spring
2024,Spring,MADISON PARK,68,2024_Spring
2024,Spring,MADRONA/LESCHI,205,2024_Spring
2024,Spring,MAGNOLIA,353,2024_Spring
2024,Spring,MID BEACON HILL,166,2024_Spring
2024,Spring,MILLER PARK,158,2024_Spring
2024,Spring,MONTLAKE/PORTAGE BAY,147,2024_Spring
2024,Spring,MORGAN,160,2024_Spring
2024,Spring,MOUNT BAKER,309,2024_Spring
2024,Spring,NEW HOLLY,119,2024_Spring
2024,Spring,NORTH ADMIRAL,213,2024_Spring
2024,Spring,NORTH BEACON HILL,356,2024_Spring
2024,Spring,NORTH DELRIDGE,170,2024_Spring
2024,Spring,NORTHGATE,1020,2024_Spring
2024,Spring,PHINNEY RIDGE,164,2024_Spring
2024,Spring,PIGEON POINT,34,2024_Spring
